19990112 00:00,463100,466300,441300,460600,6743600
19990113 00:00,428800,473100,422500,465000,8121700
19990114 00:00,455000,456300,411300,413800,13956800
19990115 00:00,418100,421300,402500,413100,8149300
19990119 00:00,419400,423100,403800,409400,4543300
19990120 00:00,411300,420000,405000,405200,6706600
19990121 00:00,404400,405600,375000,388100,5018200
19990122 00:00,376900,395000,370600,387500,2814800
19990125 00:00,392500,395600,388100,393800,3245500
19990126 00:00,399400,408800,398100,405600,4622300
19990127 00:00,410000,413800,399400,402500,3042800
19990128 00:00,408800,412500,403100,408800,2406900
19990129 00:00,411900,415600,400000,412500,2066900
19990201 00:00,416900,419400,403100,410000,2392800
19990202 00:00,403800,405000,390000,391900,2583700
19990203 00:00,390000,405600,387500,401300,2649300
19990204 00:00,401900,402500,377500,378800,3835900
19990205 00:00,382500,383800,355000,363100,5973500
19990208 00:00,366900,379400,362500,376900,4050200
19990209 00:00,379400,390600,370600,371900,5985800
19990210 00:00,368800,386900,367500,382500,4794600
19990211 00:00,387500,397500,385600,396300,4586600
19990212 00:00,391300,391300,370000,377500,3519000
19990216 00:00,388800,388800,378800,384400,2530500
19990217 00:00,381300,386900,369400,370000,2546200
19990218 00:00,375600,378800,355600,359400,4138800
19990219 00:00,362500,376900,361900,371300,3140900
19990222 00:00,373800,388800,372500,384400,2536500
19990223 00:00,385600,395600,379400,383800,2803500
19990224 00:00,388100,390000,373800,373800,1759600
19990225 00:00,373100,376900,365000,369400,2214500
19990226 00:00,365000,366900,345000,347500,5663500
19990301 00:00,348100,348100,336300,336900,4046200
19990302 00:00,341300,353100,337500,345900,5555000
19990303 00:00,347500,351300,335000,338800,2339500
19990304 00:00,345000,348800,323800,334400,3109900
19990305 00:00,343100,343100,323800,330000,3672900
19990308 00:00,332500,346900,331900,343100,4151800
19990309 00:00,343100,343800,335000,341300,2701100
19990310 00:00,341900,341900,324400,325600,4481600
19990311 00:00,322500,332500,320000,321900,3838600
19990312 00:00,323100,335000,323100,331300,2318800
19990315 00:00,333100,350000,332500,340600,2948500
19990316 00:00,350000,355600,349400,354400,3405500
19990317 00:00,359400,360600,339400,340600,3067200
19990318 00:00,343800,356300,342500,355000,1941700
19990319 00:00,359400,360000,328800,334400,4296500
19990322 00:00,340000,351900,329400,350600,4639300
19990323 00:00,344400,344400,327500,330000,3207600
19990324 00:00,332500,337500,325000,336300,3208500
19990325 00:00,343800,348800,333800,338100,3216900
19990326 00:00,337500,338100,330000,332500,2187000
19990329 00:00,335000,354400,334400,353800,4794900
19990330 00:00,350000,363800,350000,359400,4699400
19990331 00:00,363800,371300,358800,359400,3589300
19990401 00:00,360600,366900,357500,360000,2017400
19990405 00:00,360000,378800,360000,370000,3970000
19990406 00:00,368100,383100,368100,380600,5252700
19990407 00:00,380600,382500,363800,371300,3528400
19990408 00:00,368800,370600,360000,366900,2473700
19990409 00:00,362500,372500,359400,368800,2327000
19990412 00:00,350000,368800,348800,361900,3289900
19990413 00:00,363100,368100,345000,345600,3422200
19990414 00:00,353800,370600,352500,355000,5540200
19990415 00:00,353800,361900,343100,356900,12870300
19990416 00:00,358800,360600,352500,353800,4270500
19990419 00:00,356900,360000,335000,338800,7421500
19990420 00:00,338800,347500,335000,340000,4360600
19990421 00:00,340000,343800,335000,343100,2976200
19990422 00:00,350600,366300,350600,363800,6168100
19990423 00:00,362500,394400,362500,391300,8031800
19990426 00:00,395000,411300,393800,408800,7909000
19990427 00:00,431300,458100,430000,456900,16619200
19990428 00:00,446300,456900,436300,440000,7503500
19990429 00:00,432500,443800,417800,430000,6310100
19990430 00:00,440000,471300,440000,459400,12261600
19990503 00:00,460600,500000,457500,495600,12286500
19990504 00:00,482500,486300,461900,465600,6756000
19990505 00:00,463100,470000,446300,470000,4964700
19990506 00:00,465600,468800,440000,445000,3538400
19990507 00:00,446300,458800,432500,458800,3756100
19990510 00:00,467500,469400,446300,452500,3423400
19990511 00:00,448800,461900,435600,446900,3904100
19990512 00:00,448800,465000,441300,463800,3423900
19990513 00:00,464400,468100,455000,461900,2534000
19990514 00:00,451300,458100,443800,443800,1936900
19990517 00:00,437500,446900,430000,444400,1778300
19990518 00:00,448100,460000,443800,453100,3632200
19990519 00:00,455000,457500,435000,451300,2446500
19990520 00:00,454400,455000,425000,425600,3482700
19990521 00:00,430000,443100,425600,438800,3748700
19990524 00:00,436300,443100,418800,420000,2179100
19990525 00:00,415600,424400,409400,414400,2869600
19990526 00:00,417500,443800,413100,440000,3620100
19990527 00:00,431900,437500,426900,435600,2740800
19990528 00:00,433100,443100,431300,440000,1688400
19990601 00:00,450000,453100,443800,448100,3997300
19990602 00:00,445000,479400,440000,465600,4505500
19990603 00:00,468800,480000,468100,474400,3908800
19990604 00:00,476300,481900,472500,481300,3057700
19990607 00:00,481300,490000,475000,488100,3646600
19990608 00:00,487500,488100,475600,476300,2614500
19990609 00:00,474400,485000,474400,484400,3071000
19990610 00:00,478800,482500,473100,481300,2687700
19990611 00:00,481300,485000,462500,465000,1468700
19990614 00:00,465000,466300,451300,454400,1279400
19990615 00:00,451900,467500,451300,459400,1091200
19990616 00:00,463800,480600,463800,478800,1907500
19990617 00:00,476300,477500,457500,463800,1915900
19990618 00:00,453800,472500,451900,471300,1317600
19990621 00:00,470000,472500,460000,465000,1165000
19990622 00:00,463100,469400,453800,454400,1259100
19990623 00:00,450600,450900,435600,436900,4528600
19990624 00:00,436300,436300,422500,422500,3669900
19990625 00:00,425000,426900,420600,421300,2319700
19990628 00:00,424400,429400,423800,425600,2279800
19990629 00:00,427200,455600,426300,453800,3127400
19990630 00:00,456900,469400,449400,463100,2756000
19990701 00:00,463100,465600,452500,452500,1273300
19990702 00:00,455300,468800,451900,463100,1004200
19990706 00:00,459400,476300,458100,473400,3724800
19990707 00:00,473800,506300,470000,499400,8987600
19990708 00:00,511300,550600,508800,545000,13655300
19990709 00:00,545000,556300,530000,556300,5187000
19990712 00:00,555000,556300,541900,544400,2609300
19990713 00:00,535000,541900,528800,536300,2452900
19990714 00:00,545000,566300,545000,559400,5103100
19990715 00:00,558800,559400,513100,535000,13768400
19990716 00:00,536300,545000,530000,530600,3515000
19990719 00:00,539400,558100,523100,543800,4750000
19990720 00:00,545600,555000,527500,528100,3812300
19990721 00:00,541300,554400,528800,540600,6244600
19990722 00:00,536300,538800,512500,523800,3513400
19990723 00:00,528100,537500,526900,532500,1981500
19990726 00:00,528800,530000,508800,508800,2997300
19990727 00:00,526300,539400,525000,537500,3322900
19990728 00:00,538800,553800,530000,543100,2874300
19990729 00:00,533800,552500,531300,539400,2344700
19990730 00:00,545000,561300,545000,557500,3282100
19990802 00:00,556300,580000,555000,557500,3132100
19990803 00:00,567500,574400,536300,550600,3220500
19990804 00:00,551900,558800,532500,537500,3135000
19990805 00:00,535000,548800,521300,547500,2793800
19990806 00:00,540600,553100,535000,541900,3810500
19990809 00:00,543400,551900,542500,543800,2052100
19990810 00:00,540000,560000,536300,552500,3570600
19990811 00:00,560000,597500,559400,596900,7371400
19990812 00:00,590600,613800,586300,600000,5258100
19990813 00:00,606300,620000,598800,600600,2477100
19990816 00:00,598100,606900,595000,604400,2377800
19990817 00:00,603100,603800,589400,603000,2541700
19990818 00:00,600600,620000,596300,601300,3723800
19990819 00:00,598100,605000,585600,587500,4529400
19990820 00:00,592500,593800,581900,591300,2722300
19990823 00:00,593800,613800,593100,607500,3040400
19990824 00:00,603800,607500,599400,603800,4176800
19990825 00:00,606900,615000,601300,613800,2573700
19990826 00:00,611300,631300,611300,621300,3460900
19990827 00:00,627500,650000,626900,646900,3895900
19990830 00:00,650000,650000,620000,620000,2842700
19990831 00:00,625900,658800,621300,651300,5420100
19990901 00:00,670000,688100,660000,687500,6541300
19990902 00:00,676300,714400,668800,706300,7481900
19990903 00:00,719400,752500,705000,735000,13509700
19990907 00:00,737500,779400,735000,763800,8537400
19990908 00:00,761900,776900,745000,745000,6424200
19990909 00:00,755000,759400,738800,755600,4525800
19990910 00:00,760000,776900,746900,773100,3891700
19990913 00:00,770600,770600,748100,750600,2115300
19990914 00:00,747200,785000,746900,778100,3220900
19990915 00:00,788800,791300,752500,753800,3045300
19990916 00:00,760600,780600,738800,768100,3885300
19990917 00:00,773100,777500,762500,769400,2212500
19990920 00:00,770000,801300,768800,791300,3781400
19990921 00:00,731900,732500,690000,691900,27800900
19990922 00:00,697500,716300,690200,702500,9625600
19990923 00:00,711300,712500,630600,633100,9835900
19990924 00:00,633800,670200,630000,647500,10042900
19990927 00:00,663800,667500,612500,613100,8080500
19990928 00:00,615000,620000,574400,595600,12230600
19990929 00:00,602500,612500,580000,590600,5607300
19990930 00:00,595600,641900,592500,633100,7176800
19991001 00:00,621300,624400,595000,617300,5183600
19991004 00:00,623100,648800,623100,645000,3875900
19991005 00:00,656300,681300,647500,678800,6986400
19991006 00:00,693800,696300,670000,671300,6978600
19991007 00:00,684400,686300,648800,663800,5156000
19991008 00:00,661900,663100,635000,655000,3168400
19991011 00:00,660000,682500,660000,668800,2231400
19991012 00:00,678800,696300,670000,676300,4796600
19991013 00:00,666300,695000,637500,640000,5281900
19991014 00:00,692500,733100,690000,731300,15853100
19991015 00:00,711300,758100,701900,745600,9417800
19991018 00:00,738800,742500,711300,731900,6741900
19991019 00:00,716300,750000,684400,685000,8705300
19991020 00:00,700000,752500,700000,750600,9114300
19991021 00:00,723800,770600,723800,761300,6929800
19991022 00:00,771300,772500,733800,738800,3584800
19991025 00:00,742500,761300,737500,744400,2789300
19991026 00:00,749400,755000,733100,750600,3096600
19991027 00:00,743800,766300,734400,763800,3813000
19991028 00:00,770600,790000,760600,778100,4364200
19991029 00:00,788100,810600,788100,801300,4460400
19991101 00:00,800000,806900,773800,776900,2425900
19991102 00:00,780000,816900,773100,802500,3456300
19991103 00:00,816300,832500,810000,814400,2818600
19991104 00:00,820600,853800,806300,836900,3263700
19991105 00:00,846300,883800,840000,882500,3350300
19991108 00:00,877500,977300,867500,963100,8027600
19991109 00:00,943800,945000,880000,895600,6777800
19991110 00:00,881900,932500,881300,911900,4947600
19991111 00:00,915900,926300,898800,921900,2266700
19991112 00:00,919400,920000,873800,906300,2338900
19991115 00:00,896300,928800,885000,894400,2193700
19991116 00:00,900000,917500,885000,912500,1892600
19991117 00:00,906900,947500,900000,903800,2989900
19991118 00:00,910600,911300,884400,895600,2980000
19991119 00:00,895000,928800,881300,923800,2656000
19991122 00:00,917500,917500,892500,905600,1708800
19991123 00:00,917500,951300,885000,930300,4557000
19991124 00:00,930000,950000,916900,947500,1862000
19991126 00:00,947500,954400,941300,948100,1168600
