20221130,fesx y4d62xfm9k11,EUREX,1
20221215,fesx y4d62xfm9k11,EUREX,0
20230228,fesx y6urrfpz87mt,EUREX,1
20230316,fesx y6urrfpz87mt,EUREX,0
20230531,fesx y9cdfy0c6v8l,EUREX,1
20230615,fesx y9cdfy0c6v8l,EUREX,0
20230831,fesx ybtz4gap5iud,EUREX,1
20230914,fesx ybtz4gap5iud,EUREX,0
20231130,fesx yebksyl246g5,EUREX,1
20231214,fesx yebksyl246g5,EUREX,0
20240229,fesx ygt6hgvf2u1x,EUREX,1
20240314,fesx ygt6hgvf2u1x,EUREX,0
20240531,fesx yjhoampykrs5,EUREX,1
20240620,fesx yjhoampykrs5,EUREX,0
20240831,fesx ylz9z50bjfdx,EUREX,1
20240919,fesx ylz9z50bjfdx,EUREX,0
20241130,fesx yogvnnaoi2zp,EUREX,1
20241219,fesx yogvnnaoi2zp,EUREX,0
20250228,fesx yqyhc5l1gqlh,EUREX,1
20250320,fesx yqyhc5l1gqlh,EUREX,0
20250531,fesx ytg30nvefe79,EUREX,1
20250619,fesx ytg30nvefe79,EUREX,0
