#right,strike,expiry,open,high,low,close,volume,open_interest,implied_volatility,delta,gamma,vega,theta,rho
,,,94.2800,94.2900,94.2800,93.7700,3068,,,,,,,
C,44.29,20140816,49.7000,50.8000,48.9500,49.6500,0,,0.6494081,0.9422603,0.0004288,0.0041313,0.0729223,0.0781302
C,44.29,20141018,49.7000,50.7750,48.9500,49.6500,0,,1.7650040,0.7818047,0.0021267,0.1039054,-0.0091609,0.0832182
C,44.29,20150117,49.4500,51.0500,48.6000,49.6500,0,406,0,0.8286846,0.0000000,0.0000000,0.0658344,0.2645469
C,44.29,20160115,48.8100,48.8100,48.8100,48.8100,0,177,0,0.6068993,0.0000000,0.0000000,0.0479791,0.6978179
C,45,20140621,48.9500,49.8750,48.4000,48.7500,0,,1.6179461,0.9909272,0.0001910,0.0006660,0.0728987,0.0110594
C,45,20140719,49.0250,49.8250,48.5750,49.0250,0,,2.0913384,0.8891224,0.0024279,0.0439275,-0.0532445,0.0348997
C,45,20140816,49.0000,50.0500,48.1750,48.7500,0,,0.6356642,0.9421841,0.0004466,0.0042119,0.0729060,0.0793801
C,45,20141018,48.9750,49.9000,48.3000,48.7000,0,,1.7108335,0.7795020,0.0022247,0.1053549,-0.0081314,0.0857918
C,45,20150117,49.0000,49.0000,49.0000,49.0000,10,43,1.2862615,0.7073507,0.0024533,0.1382206,0.0158969,0.1403517
C,45.71,20140621,48.3250,49.4000,47.4500,48.1000,0,1743,1.6968755,0.9898119,0.0003120,0.0011410,0.0680266,0.0112062
C,45.71,20140719,48.3250,49.3500,47.4500,48.3000,0,,2.0503104,0.8877390,0.0025088,0.0445004,-0.0525201,0.0355030
C,45.71,20140816,48.3250,49.3250,47.4500,48.0500,0,,0.6221562,0.9421049,0.0004653,0.0042957,0.0728888,0.0806295
C,45.71,20141018,48.2750,49.3750,47.5250,48.0000,0,,1.6813065,0.7769081,0.0022984,0.1069690,-0.0081946,0.0873928
C,45.71,20150117,48.7500,49.4000,47.4250,48.2250,0,672,0,0.8286846,0.0000000,0.0000000,0.0658054,0.2730286
C,45.71,20150417,48.0000,48.0000,48.0000,48.0000,0,1,0.2164395,0.7610281,0.0011614,0.0143808,0.0598671,0.3793595
C,45.71,20160115,48.0000,48.3500,48.0000,48.3500,0,512,0,0.6068993,0.0000000,0.0000000,0.0479502,0.7201909
C,46.43,20140621,47.6000,48.4250,46.9000,47.3000,0,,2.7068986,0.9604487,0.0018039,0.0105257,-0.0818177,0.0105652
C,46.43,20140719,47.6000,48.6250,46.7250,47.6000,0,,2.0172151,0.8858919,0.0025934,0.0452594,-0.0527582,0.0360368
C,46.43,20140816,47.5750,48.6500,46.8000,47.3250,0,,0.6085976,0.9420251,0.0004850,0.0043797,0.0728733,0.0818967
C,46.43,20141018,47.5750,48.6250,46.8000,47.5000,0,,1.6712237,0.7739841,0.0023511,0.1087653,-0.0091861,0.0881838
C,46.43,20150117,47.6250,48.6750,46.5750,47.5250,0,161,0,0.8286846,0.0000000,0.0000000,0.0657906,0.2773292
C,46.43,20150417,47.5750,48.5000,46.8750,47.3500,0,,0.2098559,0.7608357,0.0012311,0.0147807,0.0598390,0.3852629
C,47.14,20140621,46.9000,47.9000,46.2750,46.6250,0,14,0,0.9923072,0.0000000,0.0000000,0.0789497,0.0116214
C,47.14,20140719,46.8250,47.9250,46.0750,46.8750,0,,1.9774733,0.8844628,0.0026796,0.0458419,-0.0520115,0.0366358
C,47.14,20140816,46.8750,47.9500,46.1000,46.8000,0,,1.7711489,0.8409638,0.0026943,0.0708050,-0.0293972,0.0572229
C,47.14,20141018,46.8500,47.7500,46.3250,46.8000,0,,1.6424780,0.7713103,0.0024279,0.1103866,-0.0092296,0.0897585
C,47.14,20150117,47.0000,47.0000,47.0000,47.0000,0,616,0,0.8286846,0.0000000,0.0000000,0.0657761,0.2815701
C,47.14,20150417,46.8250,47.8500,46.1750,46.6250,0,,0.2095075,0.7594294,0.0014726,0.0176504,0.0596177,0.3900334
C,47.14,20160115,46.6000,48.2750,45.7750,46.7000,0,308,0,0.6068993,0.0000000,0.0000000,0.0479212,0.7427215
C,47.86,20140621,46.1000,46.9750,45.6000,46.0500,0,,2.7574880,0.9529462,0.0021059,0.0125175,-0.1159038,0.0106998
C,47.86,20140719,46.1750,47.2000,45.3000,46.1500,0,,1.9400355,0.8828652,0.0027698,0.0464885,-0.0515278,0.0372187
C,47.86,20140816,46.1500,47.1750,45.3000,45.9000,0,,0.5821360,0.9418660,0.0005264,0.0045467,0.0728458,0.0844134
C,47.86,20141018,46.1250,47.2250,45.3750,45.8500,0,,1.5923876,0.7688914,0.0025372,0.1118361,-0.0081810,0.0922938
C,47.86,20150117,45.8750,47.3000,45.1500,45.8750,0,63,2.9959089,0.7581566,0.0007151,0.0938414,-0.0032947,0.0489644
C,47.86,20150417,46.1500,47.1500,45.5500,46.1000,0,,0.2000607,0.7598017,0.0014765,0.0168995,0.0596834,0.3964279
C,48.57,20140621,45.4000,46.2750,44.9000,45.3500,0,,1.5611253,0.9896041,0.0003645,0.0012266,0.0680703,0.0119065
C,48.57,20140719,45.4500,46.5000,44.6000,45.5250,0,518,0,0.9687504,0.0000000,0.0000000,0.0770237,0.0491979
C,48.57,20140816,45.4250,46.5250,44.6000,45.2000,0,,0.5694327,0.9417762,0.0005493,0.0046406,0.0728275,0.0856610
C,48.57,20141018,45.4500,46.3250,44.7250,45.1500,0,,1.5649400,0.7661587,0.0026191,0.1134541,-0.0082002,0.0938491
C,48.57,20150117,44.6000,44.6000,44.6000,44.6000,0,609,0,0.8286846,0.0000000,0.0000000,0.0657469,0.2901116
