ALTR,ALTR,36.24,1610858,72526473
ALTV,ALTV,8.18,57374,91838
ALU,ALU,3.91,2335164,15112695
ALV,ALV,100.32,249745,35319673
ALX,ALX,364.44,3508,1602758
ALXA,ALXA,4.43,51664,448269
ALXN,ALXN,152.13,1234459,211073688
AMAG,AMAG,19.35,214347,6306657
AMAP,AMAP,20.04,409272,9497624
AMAT,AMAT,20.42,9081871,199787530
AMBA,AMBA,26.71,669417,19637606
AMBC,AMBC,31.03,428857,18656667
AMBCW,AMBCW,20.4,13442,541701
AMBI,AMBI,9.12,11541,278409
AMBR,AMBR,15.36,31537,42089178
AMBT,AMBT,1.35,7031,16700
AMC,AMC,24.2,510297,6432981
AMCC,AMCC,9.9,758872,7782761
AMCF,AMCF,2.26,64299,292532
AMCN,AMCN,2.38,118283,1220306
AMCO,AMCO,0.3808,110472,104681
AMCX,AMCX,73.09,370943,35909123
AMD,AMD,4.005,7972454,38607573
AMDA,AMDA,7.52,6329,1718146
AME,AME,51.49,881934,28798087
AMED,AMED,14.89,169581,3299188
AMG,AMG,199.35,839077,74996871
AMG,AMG,199.35,839077,74996871
AMGN,AMGN,123.34,3089711,310409751
AMH,AMH,16.69,684058,11827513
AMIC,AMIC,10.76,2402,15454
AMID,AMID,25.44,7181,887172
AMJ,AMJ,46.54,139065,12016489
AMKR,AMKR,6.86,1021466,4687075
AMLP,AMLP,17.66,1519868,22899962
AMNB,AMNB,23.52,18607,252938
AMOT,AMOT,11.59,10445,64328
AMOV,AMOV,19.76,1757,56542
AMP,AMP,110.13,772291,88824600
AMPE,AMPE,6.34,533848,3372571
AMPS,AMPS,49.5,523,43149
AMRB,AMRB,9.23,2524,39607
AMRC,AMRC,7.57,81701,821614
AMRE,AMRE,16.58,50355,524681
AMRI,AMRI,18.59,711874,8777711
AMRK,AMRK,13.12,11511,385072
AMRN,AMRN,1.81,557393,2859080
AMRS,AMRS,3.73,242343,1235862
AMS,AMS,3.23,720,36328
AMSC,AMSC,1.61,512896,1156209
AMSF,AMSF,43.91,40711,1534289
AMSG,AMSG,47.08,74467,4732132
AMSWA,AMSWA,10.17,40749,495312
AMT,AMT,81.88,1247960,112133408
AMTD,AMTD,33.97,1662017,75918241
AMTG,AMTG,16.24,127415,3362199
AMU,AMU,29.3,20147,671957
AMWD,AMWD,33.66,67039,2380543
AMX,AMX,19.87,4592893,84057929
AMZG,AMZG,7.15,218789,2100799
AMZN,AMZN,336.52,2620296,876903662
AN,AN,53.23,376483,27028181
ANAC,ANAC,20.01,436804,6406588
ANAD,ANAD,1.7,532852,452068
ANAT,ANAT,113.05,11774,1196845
ANCI,ANCI,1.98,1000,1890
ANCX,ANCX,16.21,17872,253592
AND,AND,10.95,1745,15334
ANDE,ANDE,59.24,152637,9287992
ANF,ANF,38.5,587145,58658476
ANFI,ANFI,17.04,125689,2857344
ANGI,ANGI,12.18,398682,7088838
ANGL,ANGL,27.65,1385,29746
ANGO,ANGO,15.75,49055,1306721
ANH,ANH,4.96,1120392,4569403
